FirstName,LastName,Gender,DellEmail,University,BusinessUnit,Degree,Major,Year,ReturningIntern,CampusLocation,TechnologiesOfInterest,TechnologiesUsing
Micah,James,Female,Micah.James@dell.com,Columbia University,CSO,Bachelors,Computer Science,Junior,N,Remote,"Artifical intelligence , Java , Networks","workplace safety , performance management , onboarding"
Arianna,Moore,Male,Arianna.Moore@dell.com,Boston University - Engineering,CTO,MBA,Business,Sophomore,N,Massachusets - Hopkinton,"Photonics , computer architecture , Instrumentation","Infrastructure , C , Python"
Eduardo,Davidson,Female,Eduardo.Davidson@dell.com,Texas A&M University - College Station,CSG,Masters,Communications,Junior,N,Texas - Round Rock,"workplace safety , performance management , onboarding","mutual funds , liquidity , liabilities"
Bowen,Hughes,Female,Bowen.Hughes@dell.com,Carnegie Mellon University,CSO,MBA,Computer Science,Junior,Y,Remote,"Infrastructure , C , Python","Cybersecurity , Big data , Grid Computing"
Ada,Castillo,Female,Ada.Castillo@dell.com,University of Texas - Austin,ISG,Bachelors,Finance,Junior,N,Texas - Round Rock,"mutual funds , liquidity , liabilities","wholesale , factory management , marketing"
Albert,Patterson,Male,Albert.Patterson@dell.com,Southern Methodist University,CSO,Masters,Computer Engineering,Senior,N,Texas - Round Rock,"Cybersecurity , Big data , Grid Computing","circuitry , Computer aided design , Photonics"
Mariana,Thompson,Male,Mariana.Thompson@dell.com,Western Illinois University,CSO,Bachelors,Business,Senior,N,Texas - Round Rock,"wholesale , factory management , marketing","employee satisfaction , performance management , compensation"
Asher,Peterson,Male,Asher.Peterson@dell.com,(CFT) San Jose State University,ISG,Bachelors,Computer Engineering,Junior,N,Massachusets - Hopkinton,"circuitry , Computer aided design , Photonics","marketing , customer satisfaction , mass merchandising"
Cali,Wilson,Female,Cali.Wilson@dell.com,University of Massachusetts - Lowell,CSG,Bachelors,Communications,Junior,N,Texas - Round Rock,"employee satisfaction , performance management , compensation","computer architecture , circuitry , Simulink"
Oaklynn,Roberts,Female,Oaklynn.Roberts@dell.com,University of Georgia,CSO,Masters,Business,Junior,N,Massachusets - Hopkinton,"marketing , customer satisfaction , mass merchandising","observability, insights, machine learing"
Daxton,Johnston,Female,Daxton.Johnston@dell.com,University of Massachusetts - Amherst,Telecom,Masters,Computer Science,Junior,N,Washington - Seattle,"computer architecture , circuitry , Simulink","automation , Analytics , capital gain"
Charlie,Gray,Male,Charlie.Gray@dell.com,Duke University,CTO,MBA,Data Science,Senior,N,Massachusets - Hopkinton,"observability, insights, machine learing","performance management , workplace safety , training"
Simon,Campbell,Female,Simon.Campbell@dell.com,Trinity University,CSO,Bachelors,Finance,Senior,N,Texas - Round Rock,"automation , Analytics , capital gain","embedded systems , Computer aided design , Photonics"
Braxton,Webster,Female,Braxton.Webster@dell.com,Fisk University,CSG,Masters,Communications,Junior,Y,Texas - Round Rock,"performance management , workplace safety , training","Networks , Visualization , Cybersecurity"
Madeleine,Thomas,Male,Madeleine.Thomas@dell.com,Texas Tech University,ISG,Bachelors,Computer Science,Senior,N,Texas - Round Rock,"embedded systems , Computer aided design , Photonics","Encryption , Data , Cybersecurity"
Bentley,Parker,Female,Bentley.Parker@dell.com,Georgia Institute of Technology,CSO,Bachelors,Computer Engineering,Junior,N,Massachusets - Hopkinton,"Networks , Visualization , Cybersecurity","equity , liabilities , cashflow"
Milani,Lewis,Female,Milani.Lewis@dell.com,Rice University,ISG,Bachelors,Computer Science,Senior,N,Massachusets - Hopkinton,"Encryption , Data , Cybersecurity","Staffing , onboarding , organizational structure"
Daniella,Cooper,Female,Daniella.Cooper@dell.com,Rutgers University,Telecom,Bachelors,Finance,Senior,N,Washington - Seattle,"equity , liabilities , cashflow","artifical intelligence, cloud, computing"
Jayden,Bailey,Female,Jayden.Bailey@dell.com,University of Texas - Austin,CTO,Bachelors,Communications,Senior,N,Massachusets - Hopkinton,"Staffing , onboarding , organizational structure","Statistics , business cycles , equity"
Ayden,Allen,Male,Ayden.Allen@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSG,Bachelors,Data Science,Junior,N,Texas - Round Rock,"artifical intelligence, cloud, computing","customer relationships , tax , packaging"
Aylin,Waters,Female,Aylin.Waters@dell.com,Texas A&M University,ISG,MBA,Finance,Sophomore,N,Massachusets - Hopkinton,"Statistics , business cycles , equity","programmable logic , circuitry , embedded systems"
Raymond,Lee,Male,Raymond.Lee@dell.com,University of Texas - Austin,CSG,Bachelors,Business,Senior,N,Massachusets - Hopkinton,"customer relationships , tax , packaging","recruiting , employee satisfaction , workplace safety"
Elijah,Robinson,Male,Elijah.Robinson@dell.com,Texas Tech University,CSG,Masters,Computer Engineering,Senior,N,Texas - Round Rock,"programmable logic , circuitry , embedded systems","mockups , testing , continuos integration"
Lennox,Davidson,Female,Lennox.Davidson@dell.com,"RICE UNIVERSITY, JONES GRADUATE SCHOOL OF BUSINESS",Telecom,Masters,Communications,Junior,Y,Texas - Round Rock,"recruiting , employee satisfaction , workplace safety","statistics, analytics, networks"
Colton,Lindsey,Female,Colton.Lindsey@dell.com,North Carolina A&T,CSO,MBA,Marketing,Senior,N,Texas - Round Rock,"mockups , testing , continuos integration","Data , Networks , Encryption"
Kailani,Parson,Male,Kailani.Parson@dell.com,Santa Clara University,CSG,Bachelors,Data Science,Junior,N,Texas - Round Rock,"statistics, analytics, networks","blockchain , asset allocation , valuation"
Blair,Davidson,Female,Blair.Davidson@dell.com,University of Texas - Austin,ISG,Bachelors,Computer Engineering,Junior,N,Texas - Round Rock,"Data , Networks , Encryption","cashflow , asset allocation , Accounting"
Cooper,Bennet,Male,Cooper.Bennet@dell.com,University of Texas - Dallas,CTO,Masters,Finance,Senior,N,Remote,"blockchain , asset allocation , valuation","business cycles , probability theory , valuation"
Leila,Houston,Female,Leila.Houston@dell.com,Washington State University,CSG,Masters,Finance,Senior,N,Texas - Round Rock,"cashflow , asset allocation , Accounting","Computer aided design , Instrumentation , Photonics"
Kailani,Ruiz,Female,Kailani.Ruiz@dell.com,University of Texas - San Antonio,P&O Marketing MBA,Masters,Finance,Sophomore,N,Washington - Seattle,"business cycles , probability theory , valuation","Grid Computing , Virtualization , Artifical intelligence"
Amari,Peterson,Male,Amari.Peterson@dell.com,New York University,CSO,Bachelors,Mechanical Engineering,Senior,N,Remote,"Computer aided design , Instrumentation , Photonics","Visualization , C , Big data"
Milo,Miller,Female,Milo.Miller@dell.com,University of Texas - Austin,ISG,Bachelors,Computer Science,Sophomore,N,Remote,"Grid Computing , Virtualization , Artifical intelligence","Java , Cloud , Grid Computing"
Remington,Thomas,Female,Remington.Thomas@dell.com,Washington State University,CSG,Masters,Data Science,Junior,N,Texas - Round Rock,"Visualization , C , Big data","Virtualization , Networks , Python"
Raiden,Baker,Male,Raiden.Baker@dell.com,Texas A&M - College Station,CSO,MBA,Computer Engineering,Junior,Y,Texas - Round Rock,"Java , Cloud , Grid Computing","programmable logic , Signal processing , Instrumentation"
Emily,Stewart,Female,Emily.Stewart@dell.com,University of Texas - Dallas,CSG,Bachelors,Computer Science,Junior,N,Remote,"Virtualization , Networks , Python","microelectronics , circuitry , mechatronics"
Leilani,Woods,Female,Leilani.Woods@dell.com,(CFT) University of Texas - San Antonio,CSO,Bachelors,Mechanical Engineering,Senior,N,Texas - Round Rock,"programmable logic , Signal processing , Instrumentation","customer validation , customer research , Product roadmaps"
Annie,Woods,Male,Annie.Woods@dell.com,University of Texas - Austin,Telecom,Bachelors,Computer Engineering,Junior,N,Washington - Seattle,"microelectronics , circuitry , mechatronics","packaging , wholesale , customer relationships"
Matthew,Webster,Female,Matthew.Webster@dell.com,University of Texas - Austin,ISG,Masters,Marketing,Junior,N,Massachusets - Hopkinton,"customer validation , customer research , Product roadmaps","product design , advertising , marketing"
Ryleigh,Brown,Male,Ryleigh.Brown@dell.com,"University of California, Los Angeles",CSG,Bachelors,Business,Junior,N,Massachusets - Hopkinton,"packaging , wholesale , customer relationships","Grid Computing , Big data , Python"
Jack,Cruz,Female,Jack.Cruz@dell.com,Santa Clara University,CSO,Masters,Business,Senior,N,Texas - Round Rock,"product design , advertising , marketing","Simulink , microelectronics , motion control"
Eli,Ramos,Female,Eli.Ramos@dell.com,Worcester Polytechnic Inst.,CSO,Masters,Computer Science,Senior,N,Remote,"Grid Computing , Big data , Python","customer validation , customer research , Product roadmaps"
Vivienne,Cooper,Female,Vivienne.Cooper@dell.com,California State University,P&O Marketing MBA,Bachelors,Mechanical Engineering,Sophomore,N,Remote,"Simulink , microelectronics , motion control","Analytics , business cycles , asset allocation"
Chris,Myers,Male,Chris.Myers@dell.com,University of South Florida,CTO,Bachelors,Marketing,Junior,N,Texas - Round Rock,"customer validation , customer research , Product roadmaps","Encryption , Cybersecurity , Big data"
Annabelle,Berry,Male,Annabelle.Berry@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSG,Bachelors,Finance,Sophomore,Y,Texas - Round Rock,"Analytics , business cycles , asset allocation","income statement , mass merchandising , product design"
Molly,Lee,Female,Molly.Lee@dell.com,University of Massachusetts - Lowell,Telecom,Bachelors,Computer Science,Junior,N,Remote,"Encryption , Cybersecurity , Big data","valuation , investment , asset allocation"
Charlee,Moore,Female,Charlee.Moore@dell.com,Santa Clara University,CSO,Masters,Business,Junior,N,Texas - Round Rock,"income statement , mass merchandising , product design","user desing , Agile , management"
Cali,Wright,Male,Cali.Wright@dell.com,San Jose State University,CSG,Bachelors,Finance,Junior,N,Texas - Round Rock,"valuation , investment , asset allocation","Machine learning , Cloud , Python"
Daxton,Baker,Female,Daxton.Baker@dell.com,(CFT) University of Texas - San Antonio,P&O Marketing MBA,Bachelors,Marketing,Junior,N,Texas - Round Rock,"user desing , Agile , management","circuitry , optics , Simulink"
Cayden,Nelson,Male,Cayden.Nelson@dell.com,Missouri University of Science and Technology,ISG,Bachelors,Data Science,Sophomore,N,California - Santa Clara,"Machine learning , Cloud , Python","motion control , circuitry , optics"
Jason,Newman,Male,Jason.Newman@dell.com,Christopher Newport University,CTO,MBA,Mechanical Engineering,Junior,N,Washington - Seattle,"circuitry , optics , Simulink","Python , C , Infrastructure"
Easton,Ruiz,Female,Easton.Ruiz@dell.com,Worcester Polytechnic Inst.,CTO,Masters,Computer Engineering,Junior,N,Massachusets - Hopkinton,"motion control , circuitry , optics","employee satisfaction , Staffing , organizational structure"
Owen,Reed,Male,Owen.Reed@dell.com,University of Florida,CTO,MBA,Computer Science,Junior,N,Texas - Round Rock,"Python , C , Infrastructure","customer satisfaction , wholesale , consulting"
Nicholas,Fuller,Female,Nicholas.Fuller@dell.com,Texas A&M - College Station,CTO,MBA,Communications,Senior,N,California - Santa Clara,"employee satisfaction , Staffing , organizational structure","tax , consulting , income statement"
Willow,Nelson,Male,Willow.Nelson@dell.com,North Carolina State University,CSO,Bachelors,Business,Senior,Y,Massachusets - Hopkinton,"customer satisfaction , wholesale , consulting","Grid Computing , Data , Networks"
Rosalie,Gilbert,Male,Rosalie.Gilbert@dell.com,University of Washington - Seattle,CSG,Masters,Business,Senior,N,Massachusets - Hopkinton,"tax , consulting , income statement","Data , Grid Computing , Visualization"
Vera,Reyes,Male,Vera.Reyes@dell.com,University of Illinois,CSG,MBA,Data Science,Junior,N,Texas - Round Rock,"Grid Computing , Data , Networks","employee satisfaction , performance management , recruiting"
Hudson,Nelson,Female,Hudson.Nelson@dell.com,University of Washington - Seattle,CSG,Bachelors,Computer Science,Senior,N,Remote,"Data , Grid Computing , Visualization","Photonics , motion control , microelectronics"
Izabella,Hanson,Male,Izabella.Hanson@dell.com,University of Washington - Bothell,ISG,Masters,Communications,Senior,N,Washington - Seattle,"employee satisfaction , performance management , recruiting","Computer Graphics , software architecture , Data"
Isabel,Watson,Female,Isabel.Watson@dell.com,University of Texas - San Antonio,CTO,Bachelors,Mechanical Engineering,Junior,N,Texas - Round Rock,"Photonics , motion control , microelectronics","development , user desing , customer support"
Theo,Cook,Female,Theo.Cook@dell.com,MIT,ISG,Masters,Computer Engineering,Senior,N,Massachusets - Hopkinton,"Computer Graphics , software architecture , Data","Data , Grid Computing , Visualization"
Octavia,Gilbert,Female,Octavia.Gilbert@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSO,Masters,Marketing,Junior,N,Washington - Seattle,"development , user desing , customer support","employee satisfaction , performance management , recruiting"
London,Harris,Male,London.Harris@dell.com,University of Massachusetts - Dartmouth,Telecom,MBA,Communications,Junior,N,Texas - Round Rock,"workplace safety , onboarding , Staffing","Photonics , motion control , microelectronics"
Kade,Gill,Male,Kade.Gill@dell.com,North Carolina State University,CTO,Bachelors,Finance,Senior,N,Texas - Round Rock,"liabilities , asset allocation , mutual funds","Computer Graphics , software architecture , Data"
Stella,Perez,Male,Stella.Perez@dell.com,University of Texas - Austin,CSO,Bachelors,Business,Senior,Y,Texas - Round Rock,"advertising , packaging , income statement","development , user desing , customer support"
Titus,Cruz,Female,Titus.Cruz@dell.com,(CFT) University of Puerto Rico - Mayaguez,ISG,Masters,Electrical Engineering ,Senior,N,Texas - Round Rock,"Photonics , motion control , mechatronics","workplace safety , onboarding , Staffing"
Myla,Young,Female,Myla.Young@dell.com,Trinity University,ISG,Bachelors,Marketing,Senior,N,Remote,"testing , customer validation , development","liabilities , asset allocation , mutual funds"
Derek,Wright,Male,Derek.Wright@dell.com,Columbia University,CSG,Bachelors,Computer Engineering,Junior,N,Texas - Round Rock,"Networks , Computer Graphics , software architecture","advertising , packaging , income statement"
Levi,Douglas,Female,Levi.Douglas@dell.com,North Carolina State University,CSG,Masters,Computer Science ,Junior,N,California - Santa Clara,"mechatronics , optics , Pspice","Photonics , motion control , mechatronics"
Kailani,Meyer,Male,Kailani.Meyer@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSO,Bachelors,Business,Junior,N,Remote,"product design , consulting , bookeeping","testing , customer validation , development"
Dylan,Hanson,Male,Dylan.Hanson@dell.com,University of California - Davis,Telecom,Bachelors,Marketing,Senior,N,Remote,"customer support , Product roadmaps , user desing","Networks , Computer Graphics , software architecture"
Leia,Foster,Male,Leia.Foster@dell.com,Arizona State University,P&O Marketing MBA,Bachelors,Finance,Junior,N,Massachusets - Hopkinton,"cashflow , capital gain , Corporate finance",Cloud
Harley,Murphy,Female,Harley.Murphy@dell.com,University of Connecticut,CTO,Bachelors,Finance,Senior,N,Remote,"mutual funds , blockchain , Accounting","Data engineering, Python, SQL,"
Robert,Gray,Female,Robert.Gray@dell.com,Georgia Institute of Technology,ISG,MBA,Computer Science,Senior,N,Texas - Round Rock,"Cloud , Cybersecurity , Data","bookeeping , packaging , advertising"
Emersyn,Butler,Female,Emersyn.Butler@dell.com,Texas A&M - College Station,CTO,Bachelors,Computer Engineering,Senior,Y,Washington - Seattle,"microelectronics , Simulink , Computer aided design","automation , liabilities , blockchain"
Emanuel,Cook,Female,Emanuel.Cook@dell.com,Florida International University,ISG,Masters,Computer Science,Junior,N,Texas - Round Rock,"Cybersecurity , software architecture , Python","Instrumentation , Photonics , Computer aided design"
Robert,Ross,Female,Robert.Ross@dell.com,Georgia Tech,CSG,Bachelors,Data Science,Senior,N,Massachusets - Hopkinton,"Cloud , Machine learning , Artifical intelligence","customer support , Product roadmaps , testing"
Xavier,Miller,Female,Xavier.Miller@dell.com,Texas A&M - College Station,CTO,Bachelors,Computer Science,Junior,N,Remote,"Java , Python , Machine learning","Data , Encryption , Big data"
Serenity,Parson,Female,Serenity.Parson@dell.com,Indiana University - Bloomington,ISG,Bachelors,Finance,Senior,N,Remote,"Analytics , Corporate finance , capital gain","embedded systems , programmable logic , Instrumentation"
Gregory,Patterson,Male,Gregory.Patterson@dell.com,University of Wisconsin - Madison (Engineering),ISG,Bachelors,Communications,Senior,N,Texas - Round Rock,"recruiting , workplace safety , organizational structure","Staffing , employee satisfaction , training"
Callum,Young,Female,Callum.Young@dell.com,(CFT) San Jose State University,Telecom,Bachelors,Computer Science,Junior,N,Washington - Seattle,"Data , Artifical intelligence , Big data","circuitry , programmable logic , computer architecture"
Nova,Gray,Female,Nova.Gray@dell.com,University of Illinois,CSO,MBA,Marketing,Sophomore,N,Texas - Round Rock,"Product roadmaps , user desing , continuos integration","Computer aided design , programmable logic , computer architecture"
Aaliyah,Diaz,Female,Aaliyah.Diaz@dell.com,Georgia State University,ISG,Bachelors,Business,Sophomore,N,Washington - Seattle,"customer satisfaction , mass merchandising , bookeeping","optics , mechatronics , embedded systems"
Charles,Larson,Female,Charles.Larson@dell.com,Worcester Polytechnic Inst.,CSO,Masters,Business,Junior,N,Washington - Seattle,"marketing , customer satisfaction , publishing","Agile , testing , customer support"
Emmett,Ruiz,Male,Emmett.Ruiz@dell.com,Boston University,CSG,Masters,Data Science,Sophomore,Y,Massachusets - Hopkinton,"Cloud , Analytics , Virtualization","probability theory , capital gain , liabilities"
Isla,Wright,Male,Isla.Wright@dell.com,Emory University,CSO,Bachelors,Communications,Junior,N,Texas - Round Rock,"Staffing , recruiting , organizational structure","training , recruiting , performance management"
Mason,Wilson,Male,Mason.Wilson@dell.com,University of Texas - Austin,CSO,Bachelors,Computer Science,Sophomore,N,Massachusets - Hopkinton,"Networks , Visualization , Virtualization","Staffing , organizational structure , workplace safety"
Julius,Green,Female,Julius.Green@dell.com,University of Massachusetts - Amherst,CSO,Bachelors,Computer Engineering,Junior,N,Remote,"Analytics , Artifical intelligence , C","employee satisfaction , onboarding , performance management"
George,Hamilton,Female,George.Hamilton@dell.com,University of Texas - Austin,ISG,Bachelors,Data Science,Senior,N,Texas - Round Rock,"Accounting , liquidity , Analytics","Java , Python , Virtualization"
Jeremy,Richardson,Male,Jeremy.Richardson@dell.com,University of Texas - San Antonio,CSO,Bachelors,Marketing,Senior,N,Texas - Round Rock,"user desing , mockups , testing","marketing , consulting , wholesale"
Mackenzie,Foster,Male,Mackenzie.Foster@dell.com,University of Washington - Seattle,P&O Marketing MBA,MBA,Business,Senior,N,Washington - Seattle,"bookeeping , factory management , marketing","consulting , big data, accounting"
Leah,Lee,Male,Leah.Lee@dell.com,"BRIGHAM YOUNG UNIVERSITY, MARRIOTT SCHOOL OF BUSINESS",CSO,Bachelors,Data Science,Sophomore,N,Texas - Round Rock,"business cycles , valuation , Analytics","Cloud , Virtualization , Java"
Jameson,Kim,Male,Jameson.Kim@dell.com,University of Michigan - Stephen M. Ross School of Business,CSO,Bachelors,Finance,Junior,N,Texas - Round Rock,"liabilities , mutual funds , liquidity","Signal processing , mechatronics , Pspice"
Harlow,Martin,Male,Harlow.Martin@dell.com,Texas A&M - College Station,Telecom,Bachelors,Mechanical Engineering,Junior,N,California - Santa Clara,"Simulink , microelectronics , Signal processing","consulting , tax , mass merchandising"
Adelyn,Gomez,Female,Adelyn.Gomez@dell.com,Santa Clara University,CSO,MBA,Business,Senior,Y,Remote,"advertising , factory management , tax","publishing , income statement , product design"
Naomi,Ward,Female,Naomi.Ward@dell.com,Santa Clara University,CTO,Masters,Mechanical Engineering,Senior,N,Texas - Round Rock,"Computer aided design , embedded systems , microelectronics","Computer aided design , computer architecture , mechatronics"
Eric,Gilbert,Female,Eric.Gilbert@dell.com,Merrimack College,P&O Marketing MBA,MBA,Communications,Junior,N,Washington - Seattle,"compensation , Staffing , onboarding","encryption, cybersecurity, blockchain"
Oakley,Lindsey,Female,Oakley.Lindsey@dell.com,Brigham Young University - Provo,ISG,Bachelors,Computer Science,Senior,N,California - Santa Clara,"Big data , Data , Cybersecurity","testing , customer validation , customer research"
James,Harrison,Female,James.Harrison@dell.com,University of Puerto Rico - Mayaguez,ISG,Bachelors,Finance,Junior,N,Texas - Round Rock,"mutual funds , equity , asset allocation","Grid Computing , Encryption , Cloud"
Arabella,Young,Female,Arabella.Young@dell.com,University of Texas - Austin,CSG,Bachelors,Business,Junior,N,Texas - Round Rock,"factory management , bookeeping , customer relationships","capital gain , asset allocation"
Wade,Rogers,Male,Wade.Rogers@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSG,Masters,Marketing,Junior,N,Washington - Seattle,"customer validation , customer research , user desing","mechatronics , microelectronics , optics"
Bowen,Hopkins,Female,Bowen.Hopkins@dell.com,Texas A&M - College Station,CTO,Bachelors,Business,Senior,N,California - Santa Clara,"product design , customer satisfaction , customer relationships","wholesale , factory management , customer satisfaction"
